,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
IGHV3-21,884.4951610075514,4.799265722760115,0.8372905367061226,5.731900113956013,9.931175395339378e-09,9.855635071853552e-07
NEBL,12.760389613320081,-2.3628544304726344,0.41282755648280545,-5.723586987757319,1.0429812563774738e-08,1.0295714973669062e-06
KCNT2,1.4901281061867866,-3.9127759783266143,0.6846697310021594,-5.71483709758782,1.0980916591441583e-08,1.0782682149817137e-06
AGTR1,2.1295456404239803,-3.1395745799708887,0.5505234422631301,-5.702889902498079,1.177930695669839e-08,1.1506101041419992e-06
CLIC3,69.00339713450843,-2.9351669816448807,0.5147812096575008,-5.701775679803336,1.18565790993631e-08,1.1521260221709237e-06
RAPGEF4,3.0499421929362893,-2.3100266921681203,0.40521714424943617,-5.700713123692902,1.1930726835136305e-08,1.1533241998090054e-06
PODXL2,70.40732713427505,3.2977965573489625,0.5785999460273765,5.699614353563951,1.2007875497041702e-08,1.1547986244758094e-06
TCF21,6.676065213124633,-3.578750203235784,0.6283997746283749,-5.6950214620178645,1.2335640289888789e-08,1.1742144943288527e-06
DUOX1,22.49252342070641,-3.613520110782364,0.6344437455089446,-5.695572123393909,1.2295889215010515e-08,1.1742144943288527e-06
LINC02154,2.5768063826267786,-5.085328496951742,0.8942956585525496,-5.68640633365316,1.2974049182033937e-08,1.2287149014680566e-06
IGSF10,2.586553792161019,-3.5151602929430954,0.6206771101371821,-5.663428271369915,1.4837821079829725e-08,1.398127413567592e-06
SLC2A1,89.05838756219777,4.361750623915578,0.7710451454157939,5.656932865537282,1.5410200528839304e-08,1.444764378223894e-06
CYYR1,20.049435985451325,-2.417943075283083,0.42756461530106793,-5.655152434867646,1.55708017863242e-08,1.452522244637253e-06
HSD17B6,40.36165518030262,-3.6355384779593125,0.6430236751529769,-5.653817454068716,1.5692287138780867e-08,1.4565721450160926e-06
OSBPL11,18.76790878003949,-1.2025992782868806,0.21289443853808437,-5.648805513873249,1.615665136973227e-08,1.4922507158668067e-06
MMRN2,22.773845705907533,-2.0976187968395723,0.37217235809776067,-5.636148819758878,1.738951176062682e-08,1.5982074922069686e-06
CTNNAL1,42.12842445535449,-1.812610916732258,0.3217237150159835,-5.634060630694277,1.760150929705751e-08,1.6097615635058917e-06
EFCC1,9.147240620108883,-2.7225386750377716,0.4835283468586113,-5.630566837964249,1.7961831629047987e-08,1.6347019156251138e-06
TNS1,75.12797521025642,-2.474494903560757,0.439893851780347,-5.6252091124845975,1.8528338480056923e-08,1.67807383991467e-06
MDK,384.93676752788247,2.9391729408342844,0.5229990932174197,5.619843282620033,1.9113075281265557e-08,1.7226697851331957e-06
