,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
COX7A1,59.76810613729747,-2.5891769758533427,0.5797084576841252,-4.466343282616291,7.956789989265432e-06,0.0012201667238173838
MCCC1,21.977428038805144,-1.6014123964787732,0.3588415061036617,-4.4627290021911765,8.092237042069245e-06,0.0012201667238173838
AC097713.1,1.408179924255659,-5.418945377999621,1.2151628456747356,-4.459439652296707,8.21742058250816e-06,0.0012248652336841446
GPIHBP1,13.509585544776545,-3.7686832151460465,0.845391942700636,-4.457912389260357,8.27617124206348e-06,0.001224873343825395
BOK,62.17581247979975,-2.170734995938574,0.48726441929599645,-4.454942552700379,8.391566141619614e-06,0.0012332056496008317
FTO,10.69691809567996,-1.2981210009992994,0.29169133387662083,-4.450324196290236,8.57407575337172e-06,0.001251215474275252
CETP,3.087869968917819,-2.896397187135281,0.6510916261988228,-4.448524709256225,8.646210395643168e-06,0.001252979989835289
CNN1,42.59452647093604,-2.666566179916251,0.6010088011300954,-4.4368171895357005,9.129876584788795e-06,0.0013139466522163628
NRN1,31.098804715158206,-2.386041405425805,0.5381698005413975,-4.433621884813033,9.266308190907587e-06,0.001324447392656572
HSPB6,15.966825820482802,-4.264427666936721,0.9626300315522909,-4.429975719810145,9.424369841442507e-06,0.0013378758493280424
STXBP1,10.208039228177189,-1.6277521092530538,0.36831713527954063,-4.419430847325752,9.896118067810443e-06,0.0013953526475612725
TNXB,7.236325762569427,-3.640393798940899,0.8255656312074571,-4.40957527945601,1.035735503542198e-05,0.0014505858045582944
VKORC1L1,57.36898838939782,-1.3797468179526187,0.3131578281473194,-4.405915145456756,1.053381964100959e-05,0.0014654649884572543
ACSL1,118.96169391690799,-3.01533282739175,0.6855347422432765,-4.398512054290161,1.0899557382956074e-05,0.0015063043938246844
MATN2,21.75677608019373,-2.880599790513139,0.6579640495367403,-4.378050430781611,1.197456459156246e-05,0.0016439816703731932
FERMT2,30.229459257451435,-1.7922172199846127,0.40968829054079,-4.374587366455799,1.2166239080886346e-05,0.0016593795891499104
MFAP2,38.32736577313516,2.606549115958649,0.5975525381636131,4.362041744428105,1.2885427599965333e-05,0.0017460591114030948
WDR86-AS1,2.1969697920199733,-2.336052265834689,0.5358631030405699,-4.359419882764026,1.3040768549475604e-05,0.0017557081167126252
ACTG2,32.98789162297228,-3.1971930225708824,0.7337534657072664,-4.357312328997454,1.316693131988858e-05,0.0017613302742527878
CNTFR,12.141386841862804,-4.017088018293291,0.9243845468762885,-4.34568928252638,1.3883898755371836e-05,0.001838180030314317
CDO1,16.819085996602315,-3.777644062693257,0.8693918136666017,-4.345157158498303,1.3917598466056262e-05,0.001838180030314317
CHL1,2.9661254298354285,-2.7861290278019606,0.6417081776433504,-4.3417383864951145,1.4135979205979047e-05,0.0018552805916375518
LIMS2,9.177661072560975,-1.7034389636565288,0.3932062745401293,-4.332176452801446,1.4764253720530269e-05,0.0019256277915001604
MAOA,36.21014064781734,-4.017797086122248,0.9288052663327881,-4.325769062427649,1.520006053247746e-05,0.0019579929826650595
PLPP3,36.881452153580106,-1.518924055613578,0.35111857172705163,-4.3259576049834845,1.5187063242097433e-05,0.0019579929826650595
CLEC3B,26.089993057516114,-3.4489861191428104,0.7979167577869424,-4.322488637422188,1.542790311757848e-05,0.0019751501978995567
DTX1,6.95644559169489,-2.475761108207465,0.5732773970166796,-4.3186093173937445,1.570154450337846e-05,0.0019861387918570536
